describe,introduce,invaluate,movie_name,serial_number,star
像吃了苏打饼一样干脆的电影。,2007/美国德国/动作悬疑惊悚,216466人评价,谍影重重3,130,8.7
中国家庭的喜怒哀乐忍。,1993/台湾美国/剧情喜剧爱情同性家庭,167457人评价,喜宴,131,8.8
电影诗。,1994/香港台湾/剧情动作爱情武侠古装,305417人评价,东邪西毒,132,8.6
真相就在眼前。,2004/美国/悬疑惊悚恐怖,235036人评价,电锯惊魂,133,8.7
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008/英国美国/剧情爱情,446662人评价,贫民窟的百万富翁,134,8.5
老少皆宜，这就是好莱坞动画的魅力。,2013/美国/喜剧动画冒险,438901人评价,疯狂原始人,135,8.7
《我是山姆》的《美丽人生》。,2013/韩国/剧情喜剧家庭,220297人评价,7号房的礼物,136,8.7
一个针管引发的血案。,2000/美国/犯罪剧情悬疑惊悚,327571人评价,记忆碎片,137,8.6
触不到的恋人。,2011/日本/剧情爱情动画奇幻,203210人评价,萤火之森,138,8.8
黑暗之美。,2010/美国/剧情惊悚,484315人评价,黑天鹅,139,8.5
爱，是个动词。,2003/英国美国法国/喜剧剧情爱情,361775人评价,真爱至上,140,8.5
英雄泪短，兄弟情长。 ,1986/香港/动作犯罪,218056人评价,英雄本色,141,8.6
Balalala~~~,2014/美国/喜剧动作科幻动画冒险,458692人评价,超能陆战队,142,8.6
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988/美国/剧情,236847人评价,雨人,143,8.7
华太师是黄霑，吴镇宇四大才子之一。,1993/香港/喜剧爱情古装,426107人评价,唐伯虎点秋香,144,8.5
诺兰就是保证。,2012/美国英国/剧情动作科幻犯罪惊悚,349174人评价,蝙蝠侠：黑暗骑士崛起,145,8.6
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014/中国大陆/剧情犯罪悬疑,226405人评价,心迷宫,146,8.7
当这个世界闭上双眼，他却敞开了怀抱。,2004/英国南非意大利美国/剧情历史战争,142400人评价,卢旺达饭店,147,8.9
